Column1;doc_id;doc_name;left_context;idiom_found;right_context;idiom_lemma;pos;pos_head;xml_id;with_verb;idiom_id;verb;amountofnouns;id;doc_type;doc_type_name;sentenceid;Idiomatic;
94;WR-P-E-C-0000001185;Maandag - wasdag; die mooie zomer Van de;regen in de drup; ... Aanloopje Vakantie Schorpioenen Hoog;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.9.s.1.w.32 p.9.s.1.w.33 p.9.s.1.w.34 p.9.s.1.w.35;0;1;;2;94;WR-P-E-C;e-magazines;WR-P-E-C-0000001185-p.9.s.1;-;mention this in discussion / filter those out, it is a mistake in the chats
9;WR-P-E-C-0000000573;Als een vis in het water; die mooie zomer Van de;regen in de drup; ... Aanloopje Vakantie Schorpioenen Hoog;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.14.s.1.w.32 p.14.s.1.w.33 p.14.s.1.w.34 p.14.s.1.w.35;0;1;;2;9;WR-P-E-C;e-magazines;WR-P-E-C-0000000573-p.14.s.1;-;
10;WR-P-E-C-0000000966;Bezness; die mooie zomer Van de;regen in de drup; ... Aanloopje Vakantie Schorpioenen Hoog;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.9.s.1.w.32 p.9.s.1.w.33 p.9.s.1.w.34 p.9.s.1.w.35;0;1;;2;10;WR-P-E-C;e-magazines;WR-P-E-C-0000000966-p.9.s.1;-;
3;WR-P-E-C-0000000876;Kerstmis in Sfax; die mooie zomer Van de;regen in de drup; ... Aanloopje Vakantie Schorpioenen Hoog;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.9.s.1.w.32 p.9.s.1.w.33 p.9.s.1.w.34 p.9.s.1.w.35;0;1;;2;3;WR-P-E-C;e-magazines;WR-P-E-C-0000000876-p.9.s.1;-;
100;WR-P-E-C-0000000595;Salaris of zakgeld?; die mooie zomer Van de;regen in de drup; ... Aanloopje Vakantie Schorpioenen Hoog;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.7.s.1.w.32 p.7.s.1.w.33 p.7.s.1.w.34 p.7.s.1.w.35;0;1;;2;100;WR-P-E-C;e-magazines;WR-P-E-C-0000000595-p.7.s.1;-;
130;WR-P-P-H-0000033542;ONDER DE MINARET; men zo niet van de;regen in de drup; ? FIELD : Grofweg een;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.25.s.2.w.30 p.25.s.2.w.31 p.25.s.2.w.32 p.25.s.2.w.33;0;1;;2;130;WR-P-P-H;periodicals magazines;WR-P-P-H-0000033542-p.25.s.2;1;
111;WR-P-E-L-0000000113;Unspecified; : Raak je van de;regen in de drup; , dan doet je grondzeil;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;text.1.event.2831.s.1.w.9 text.1.event.2831.s.1.w.10 text.1.event.2831.s.1.w.11 text.1.event.2831.s.1.w.12;0;1;;2;111;WR-P-E-L;tweets;WR-P-E-L-0000000113-text.1.event.2831.s.1;1;
45;WR-P-E-C-0000000802;Als hond en kat; die mooie zomer Van de;regen in de drup; ... Aanloopje Vakantie Schorpioenen Hoog;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.9.s.1.w.32 p.9.s.1.w.33 p.9.s.1.w.34 p.9.s.1.w.35;0;1;;2;45;WR-P-E-C;e-magazines;WR-P-E-C-0000000802-p.9.s.1;-;
34;WR-P-E-C-0000000641;Bruiloft; die mooie zomer Van de;regen in de drup; ... Aanloopje Vakantie Schorpioenen Hoog;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.8.s.1.w.32 p.8.s.1.w.33 p.8.s.1.w.34 p.8.s.1.w.35;0;1;;2;34;WR-P-E-C;e-magazines;WR-P-E-C-0000000641-p.8.s.1;-;
28;WR-P-E-L-0000000255;Unspecified; Teletubbies eens . Van de;regen in de drup; . Overigens , #Tropenmuseum :;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;text.1.event.5592.s.3.w.3 text.1.event.5592.s.3.w.4 text.1.event.5592.s.3.w.5 text.1.event.5592.s.3.w.6;0;1;;2;28;WR-P-E-L;tweets;WR-P-E-L-0000000255-text.1.event.5592.s.3;-;
7;WR-P-E-C-0000000615;Belgische wegen van goud; die mooie zomer Van de;regen in de drup; ... Aanloopje Vakantie Schorpioenen Hoog;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.6.s.1.w.32 p.6.s.1.w.33 p.6.s.1.w.34 p.6.s.1.w.35;0;1;;2;7;WR-P-E-C;e-magazines;WR-P-E-C-0000000615-p.6.s.1;-;
104;WR-P-E-C-0000000976;Gaten en deuken; die mooie zomer Van de;regen in de drup; ... Aanloopje Vakantie Schorpioenen Hoog;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.10.s.1.w.32 p.10.s.1.w.33 p.10.s.1.w.34 p.10.s.1.w.35;0;1;;2;104;WR-P-E-C;e-magazines;WR-P-E-C-0000000976-p.10.s.1;-;
106;WR-P-E-C-0000000886;Warmlopertje; die mooie zomer Van de;regen in de drup; ... Aanloopje Vakantie Schorpioenen Hoog;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.8.s.1.w.32 p.8.s.1.w.33 p.8.s.1.w.34 p.8.s.1.w.35;0;1;;2;106;WR-P-E-C;e-magazines;WR-P-E-C-0000000886-p.8.s.1;-;
114;WR-P-P-B-0000000026;De samenzwering van Calaspia; nu of ze van de;regen in de drup; waren geraakt . De schaduw;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;p.641.s.3.w.10 p.641.s.3.w.11 p.641.s.3.w.12 p.641.s.3.w.13;0;1;;2;114;WR-P-P-B;books;WR-P-P-B-0000000026-p.641.s.3;-;
115;WR-P-E-L-0000000615;Unspecified; Veel plezier . Van de;regen in de drup; . Na 2 dagen mooi;regen in de drup;N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan);N VZ LID N;text.1.event.687.s.1.w.3 text.1.event.687.s.1.w.4 text.1.event.687.s.1.w.5 text.1.event.687.s.1.w.6;0;1;;2;115;WR-P-E-L;tweets;WR-P-E-L-0000000615-text.1.event.687.s.1;1;
