"","doc_id","doc_name","left_context","idiom_found","right_context","idiom_lemma","pos","pos_head","xml_id","with_verb","idiom_id","verb","amountofnouns","id","doc_type","doc_type_name","sentenceid"
"88","WR-P-E-C-0000000903","Knuffeldieren"," die mooie zomer Van de","regen in de drup"," ... Aanloopje Vakantie Schorpioenen Hoog","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.9.s.1.w.32 p.9.s.1.w.33 p.9.s.1.w.34 p.9.s.1.w.35",0,1,"",2,88,"WR-P-E-C","e-magazines","WR-P-E-C-0000000903-p.9.s.1"
"21","WR-P-E-A-0006088194","Lang over allerlei kwesties"," dan kom je van de","regen in de drup"," . Gewoon plasluiers checken (","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.2.s.17.w.21 p.2.s.17.w.22 p.2.s.17.w.23 p.2.s.17.w.24",0,1,"",2,21,"WR-P-E-A","discussion lists","WR-P-E-A-0006088194-p.2.s.17"
"82","WR-P-E-C-0000000817","Gemengde liefde"," die mooie zomer Van de","regen in de drup"," ... Aanloopje Vakantie Schorpioenen Hoog","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.11.s.1.w.32 p.11.s.1.w.33 p.11.s.1.w.34 p.11.s.1.w.35",0,1,"",2,82,"WR-P-E-C","e-magazines","WR-P-E-C-0000000817-p.11.s.1"
"151","WR-P-P-G-0000098850","Misschien was ik lomp, maar dit was nodig"," in Beieren niet van de","regen in de drup"," ? Bovendien gaat u daar","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.13.s.1.w.9 p.13.s.1.w.10 p.13.s.1.w.11 p.13.s.1.w.12",0,1,"",2,151,"WR-P-P-G","newspapers","WR-P-P-G-0000098850-p.13.s.1"
"48","WR-P-E-C-0000000785","Knutselen"," die mooie zomer Van de","regen in de drup"," ... Aanloopje Vakantie Schorpioenen Hoog","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.6.s.1.w.32 p.6.s.1.w.33 p.6.s.1.w.34 p.6.s.1.w.35",0,1,"",2,48,"WR-P-E-C","e-magazines","WR-P-E-C-0000000785-p.6.s.1"
"104","WR-P-E-C-0000000976","Gaten en deuken"," die mooie zomer Van de","regen in de drup"," ... Aanloopje Vakantie Schorpioenen Hoog","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.10.s.1.w.32 p.10.s.1.w.33 p.10.s.1.w.34 p.10.s.1.w.35",0,1,"",2,104,"WR-P-E-C","e-magazines","WR-P-E-C-0000000976-p.10.s.1"
"105","WR-P-E-C-0000000820","Hoog bezoek"," die mooie zomer Van de","regen in de drup"," ... Aanloopje Vakantie Schorpioenen Hoog","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.10.s.1.w.32 p.10.s.1.w.33 p.10.s.1.w.34 p.10.s.1.w.35",0,1,"",2,105,"WR-P-E-C","e-magazines","WR-P-E-C-0000000820-p.10.s.1"
"91","WR-P-E-C-0000001194","Doctor"," die mooie zomer Van de","regen in de drup"," ... Aanloopje Vakantie Schorpioenen Hoog","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.8.s.1.w.32 p.8.s.1.w.33 p.8.s.1.w.34 p.8.s.1.w.35",0,1,"",2,91,"WR-P-E-C","e-magazines","WR-P-E-C-0000001194-p.8.s.1"
"116","WR-P-P-B-0000000048","Bloemsdag"," het is altijd van de","regen in de drup"," . Dat was de spreuk","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.1098.s.1.w.15 p.1098.s.1.w.16 p.1098.s.1.w.17 p.1098.s.1.w.18",0,1,"",2,116,"WR-P-P-B","books","WR-P-P-B-0000000048-p.1098.s.1"
"7","WR-P-E-C-0000000615","Belgische wegen van goud"," die mooie zomer Van de","regen in de drup"," ... Aanloopje Vakantie Schorpioenen Hoog","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.6.s.1.w.32 p.6.s.1.w.33 p.6.s.1.w.34 p.6.s.1.w.35",0,1,"",2,7,"WR-P-E-C","e-magazines","WR-P-E-C-0000000615-p.6.s.1"
