"","idiom_id","doc_id","doc_name","left_context","idiom_found","right_context","idiom_lemma","pos","pos_head","xml_id","with_verb","verb","amountofnouns","id","doc_type","doc_type_name","sentenceid","most_common_lemma","idiom_length_orig","idiom_length_this"
"2758",12,"WR-P-E-G-0000005446","Subtitles for Zeppos II (8)"," Ja . Je kunt evengoed","water naar de zee"," dragen . Zijn jullie daarvoor","water naar de zee","N(soort,ev,basis,onz,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.43.s.1.w.4 p.43.s.1.w.5 p.43.s.1.w.6 p.43.s.1.w.7",1,"dragen",2,18852,"WR-P-E-G","subtitles","WR-P-E-G-0000005446-p.43.s.1","water naar de zee dragen",5,5
"2759",12,"WR-P-E-A-0000552614","Aantal vreemdelingen in België nog nooit zo hoog"," doet ? t ' is","water naar de zee"," dragen immers . ","water naar de zee","N(soort,ev,basis,onz,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.4.s.1.w.4 p.4.s.1.w.5 p.4.s.1.w.6 p.4.s.1.w.7",1,"dragen",2,18853,"WR-P-E-A","discussion lists","WR-P-E-A-0000552614-p.4.s.1","water naar de zee dragen",5,5
"2760",12,"WR-P-E-A-0000896298","Onleefbaarheid Vlaanderen : Carrefour sluiten vestigingen door onveiligheid burgers"," oorzaken doen , blijft het","water naar de zee"," dragen . ","water naar de zee","N(soort,ev,basis,onz,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.5.s.2.w.28 p.5.s.2.w.29 p.5.s.2.w.30 p.5.s.2.w.31",1,"dragen",2,18854,"WR-P-E-A","discussion lists","WR-P-E-A-0000896298-p.5.s.2","water naar de zee dragen",5,5
"2761",12,"WR-P-E-A-0000754565","Hoezo onze vrijheid in gevaar?"," uit . Het is als","water naar de zee"," dragen . Zoals ik al","water naar de zee","N(soort,ev,basis,onz,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.2.s.5.w.4 p.2.s.5.w.5 p.2.s.5.w.6 p.2.s.5.w.7",1,"dragen",2,18855,"WR-P-E-A","discussion lists","WR-P-E-A-0000754565-p.2.s.5","water naar de zee dragen",5,5
"2762",12,"WR-P-E-L-0000000565","Unspecified"," . Dat is dus geen","water naar de zee"," dragen :) Nu bij het","water naar de zee","N(soort,ev,basis,onz,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","text.1.event.1517.s.3.w.5 text.1.event.1517.s.3.w.6 text.1.event.1517.s.3.w.7 text.1.event.1517.s.3.w.8",1,"dragen",2,18856,"WR-P-E-L","tweets","WR-P-E-L-0000000565-text.1.event.1517.s.3","water naar de zee dragen",5,5
"2763",12,"WR-P-E-L-0000000271","Unspecified"," Minister Schippers blijft goed bedoeld","water naar de zee"," dragen http://t.co/vtpjiyP via @2Miljoen #Gnome","water naar de zee","N(soort,ev,basis,onz,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","text.1.event.924.s.1.w.6 text.1.event.924.s.1.w.7 text.1.event.924.s.1.w.8 text.1.event.924.s.1.w.9",1,"dragen",2,18857,"WR-P-E-L","tweets","WR-P-E-L-0000000271-text.1.event.924.s.1","water naar de zee dragen",5,5
"2764",12,"WR-P-P-G-0000118081","Chaos"," maar toch een gevalletje van","water naar de zee"," dragen . Minister Zalm vindt","water naar de zee","N(soort,ev,basis,onz,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.2.s.2.w.9 p.2.s.2.w.10 p.2.s.2.w.11 p.2.s.2.w.12",1,"dragen",2,18858,"WR-P-P-G","newspapers","WR-P-P-G-0000118081-p.2.s.2","water naar de zee dragen",5,5
"2765",12,"WR-P-E-L-0000000604","Unspecified"," leenstelsel juist bedoeld om geen","water naar de zee"," te dragen ! Hier pak","water naar de zee","N(soort,ev,basis,onz,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","text.1.event.2486.s.2.w.7 text.1.event.2486.s.2.w.8 text.1.event.2486.s.2.w.9 text.1.event.2486.s.2.w.10",1,"dragen",2,18859,"WR-P-E-L","tweets","WR-P-E-L-0000000604-text.1.event.2486.s.2","water naar de zee dragen",5,5
"2766",12,"WR-P-E-L-0000000106","Unspecified"," accu á 96 euro !","Water naar de zee"," dragen ? http://twitpic.com/kcmxc Autocentrum Rosmalen","water naar de zee","N(soort,ev,basis,onz,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","text.1.event.767.s.2.w.1 text.1.event.767.s.2.w.2 text.1.event.767.s.2.w.3 text.1.event.767.s.2.w.4",1,"dragen",2,18860,"WR-P-E-L","tweets","WR-P-E-L-0000000106-text.1.event.767.s.2","water naar de zee dragen",5,5
"2767",12,"WR-P-P-G-0000650921","De Spaanse invasie"," dan zal er nog veel","water naar de zee"," gedragen moeten worden . Dat","water naar de zee","N(soort,ev,basis,onz,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.10.s.1.w.15 p.10.s.1.w.16 p.10.s.1.w.17 p.10.s.1.w.18",1,"dragen",2,18861,"WR-P-P-G","newspapers","WR-P-P-G-0000650921-p.10.s.1","water naar de zee dragen",5,5
"2768",12,"WR-P-P-H-0000148951","Vuurtoren"," mer ( Het koninkrijk dat","water naar de zee"," draagt -- Uitg. Autrement )","water naar de zee","N(soort,ev,basis,onz,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.4.s.2.w.13 p.4.s.2.w.14 p.4.s.2.w.15 p.4.s.2.w.16",1,"dragen",2,18862,"WR-P-P-H","periodicals magazines","WR-P-P-H-0000148951-p.4.s.2","water naar de zee dragen",5,5
