"","idiom_id","doc_id","doc_name","left_context","idiom_found","right_context","idiom_lemma","pos","pos_head","xml_id","with_verb","verb","amountofnouns","id","doc_type","doc_type_name","sentenceid","most_common_lemma","idiom_length_orig","idiom_length_this"
"150",1,"WR-P-P-G-0000118566","Geboren na veertig jaar pijn en wee"," Ben ik soms van de","regen in de drup"," gekomen ? '' De bezwaarden","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.8.s.3.w.6 p.8.s.3.w.7 p.8.s.3.w.8 p.8.s.3.w.9",0,"",2,150,"WR-P-P-G","newspapers","WR-P-P-G-0000118566-p.8.s.3","regen in de drup",4,4
"60",1,"WR-P-E-C-0000001124","Paradijs op aarde bestaat niet meer"," die mooie zomer Van de","regen in de drup"," ... Aanloopje Vakantie Schorpioenen Hoog","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.2.s.1.w.32 p.2.s.1.w.33 p.2.s.1.w.34 p.2.s.1.w.35",0,"",2,60,"WR-P-E-C","e-magazines","WR-P-E-C-0000001124-p.2.s.1","regen in de drup",4,4
"141",1,"WR-P-P-G-0000232464","Wanneer de achterstand niet meer valt in te halen"," , komen we van de","regen in de drup"," en zullen de concentratiescholen in","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.6.s.3.w.29 p.6.s.3.w.30 p.6.s.3.w.31 p.6.s.3.w.32",0,"",2,141,"WR-P-P-G","newspapers","WR-P-P-G-0000232464-p.6.s.3","regen in de drup",4,4
"30",1,"WR-P-E-L-0000000415","Unspecified"," ja #snappen @marinavanderwal Van de","regen in de drup"," #verdwenengezegdes @HannaEmmering Sloeg op landgenoten","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","text.1.event.1383.s.1.w.4 text.1.event.1383.s.1.w.5 text.1.event.1383.s.1.w.6 text.1.event.1383.s.1.w.7",0,"",2,30,"WR-P-E-L","tweets","WR-P-E-L-0000000415-text.1.event.1383.s.1","regen in de drup",4,4
"35",1,"WR-P-E-C-0000001210","Als hond en kat"," die mooie zomer Van de","regen in de drup"," ... Aanloopje Vakantie Schorpioenen Hoog","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.9.s.1.w.32 p.9.s.1.w.33 p.9.s.1.w.34 p.9.s.1.w.35",0,"",2,35,"WR-P-E-C","e-magazines","WR-P-E-C-0000001210-p.9.s.1","regen in de drup",4,4
"127",1,"WR-P-P-H-0000171717","Ik kan niet niét drinken"," kwam ik daarmee van de","regen in de drup"," . Ik ontdekte dat ik","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.1.s.1.w.7 p.1.s.1.w.8 p.1.s.1.w.9 p.1.s.1.w.10",0,"",2,127,"WR-P-P-H","periodicals magazines","WR-P-P-H-0000171717-p.1.s.1","regen in de drup",4,4
"61",1,"WR-P-E-C-0000000657","Sfax aan zee"," die mooie zomer Van de","regen in de drup"," ... Aanloopje Vakantie Schorpioenen Hoog","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.9.s.1.w.32 p.9.s.1.w.33 p.9.s.1.w.34 p.9.s.1.w.35",0,"",2,61,"WR-P-E-C","e-magazines","WR-P-E-C-0000000657-p.9.s.1","regen in de drup",4,4
"15",1,"WR-P-E-C-0000000502","Zomertijd"," die mooie zomer Van de","regen in de drup"," ... Aanloopje Vakantie Schorpioenen Hoog","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.8.s.1.w.32 p.8.s.1.w.33 p.8.s.1.w.34 p.8.s.1.w.35",0,"",2,15,"WR-P-E-C","e-magazines","WR-P-E-C-0000000502-p.8.s.1","regen in de drup",4,4
"123",1,"WR-P-P-H-0000154463","Condooms"," Afrika alleen maar van de","regen in de drup"," . ","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.9.s.4.w.13 p.9.s.4.w.14 p.9.s.4.w.15 p.9.s.4.w.16",0,"",2,123,"WR-P-P-H","periodicals magazines","WR-P-P-H-0000154463-p.9.s.4","regen in de drup",4,4
"42",1,"WR-P-E-C-0000001171","Zonder zorgen op vakantie..."," die mooie zomer Van de","regen in de drup"," ... Aanloopje Vakantie Schorpioenen Hoog","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.8.s.1.w.32 p.8.s.1.w.33 p.8.s.1.w.34 p.8.s.1.w.35",0,"",2,42,"WR-P-E-C","e-magazines","WR-P-E-C-0000001171-p.8.s.1","regen in de drup",4,4
"119",1,"WR-P-P-G-0000014996","Beroofd van je vakantie"," zich . '' Van de","regen in de drup"," in Rusland Het regent en","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.18.s.1.w.3 p.18.s.1.w.4 p.18.s.1.w.5 p.18.s.1.w.6",0,"",2,119,"WR-P-P-G","newspapers","WR-P-P-G-0000014996-p.18.s.1","regen in de drup",4,4
"112",1,"WR-P-P-B-0000000064","Het 'Circus Kruls'"," maar kwamen nu van de","regen in de drup"," . Suijlen had ook met","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.1150.s.8.w.14 p.1150.s.8.w.15 p.1150.s.8.w.16 p.1150.s.8.w.17",0,"",2,112,"WR-P-P-B","books","WR-P-P-B-0000000064-p.1150.s.8","regen in de drup",4,4
"39",1,"WR-P-E-C-0000001173","Waterslang"," die mooie zomer Van de","regen in de drup"," ... Aanloopje Vakantie Schorpioenen Hoog","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.9.s.1.w.32 p.9.s.1.w.33 p.9.s.1.w.34 p.9.s.1.w.35",0,"",2,39,"WR-P-E-C","e-magazines","WR-P-E-C-0000001173-p.9.s.1","regen in de drup",4,4
"54",1,"WR-P-E-C-0000000718","Donder en bliksem"," die mooie zomer Van de","regen in de drup"," ... Aanloopje Vakantie Schorpioenen Hoog","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.9.s.1.w.32 p.9.s.1.w.33 p.9.s.1.w.34 p.9.s.1.w.35",0,"",2,54,"WR-P-E-C","e-magazines","WR-P-E-C-0000000718-p.9.s.1","regen in de drup",4,4
"77",1,"WR-P-E-C-0000000834","Vroege winter in Sfax"," die mooie zomer Van de","regen in de drup"," ... Aanloopje Vakantie Schorpioenen Hoog","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.7.s.1.w.32 p.7.s.1.w.33 p.7.s.1.w.34 p.7.s.1.w.35",0,"",2,77,"WR-P-E-C","e-magazines","WR-P-E-C-0000000834-p.7.s.1","regen in de drup",4,4
"22",1,"WR-P-E-A-0004530107","Over dat autisme"," iemand met speltherapie van de","regen in de drup"," kwam doordat de boel op","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.3.s.1.w.17 p.3.s.1.w.18 p.3.s.1.w.19 p.3.s.1.w.20",0,"",2,22,"WR-P-E-A","discussion lists","WR-P-E-A-0004530107-p.3.s.1","regen in de drup",4,4
"134",1,"WR-P-P-I-0000000033","Afgedankte voertuigen"," we wel eens van de","regen in de drup"," komen . Ribeiro e Castro","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.269.s.3.w.30 p.269.s.3.w.31 p.269.s.3.w.32 p.269.s.3.w.33",0,"",2,134,"WR-P-P-I","policy documents","WR-P-P-I-0000000033-p.269.s.3","regen in de drup",4,4
"38",1,"WR-P-E-C-0000000655","Wonderlijke natuur"," die mooie zomer Van de","regen in de drup"," ... Aanloopje Vakantie Schorpioenen Hoog","regen in de drup","N(soort,ev,basis,zijd,stan) VZ(init) LID(bep,stan,rest) N(soort,ev,basis,zijd,stan)","N VZ LID N","p.8.s.1.w.32 p.8.s.1.w.33 p.8.s.1.w.34 p.8.s.1.w.35",0,"",2,38,"WR-P-E-C","e-magazines","WR-P-E-C-0000000655-p.8.s.1","regen in de drup",4,4
